2025-02-27T13:55:58+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:56:03+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:56:12+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:56:13+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:59:18+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:59:20+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:59:24+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:59:25+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
2025-02-27T13:59:25+00:00 WARNING The WooCommerce Admin Navigation feature and its classes (Screen, Menu, CoreMenu) are deprecated since 9.3 with no alternative. Please remove the call to add_plugin_item.
