ShowName,slug,,template
Sunny Day,sunny-day,sunny-day|Sunny Day,show
Survey Class,survey-class,survey-class|Survey Class,show
Sweet and Lowdown,sweet-and-lowdown,sweet-and-lowdown|Sweet and Lowdown,show
Tea Time with Hannah,tea-time-with-hannah,tea-time-with-hannah|Tea Time with Hannah,show
The '59 Sound,the-59-sound,the-59-sound|The '59 Sound,show
The Counselor's Cornucopia Of Classic Rock & Curios,the-counselors-cornucopia-of-classic-rock-curios,the-counselors-cornucopia-of-classic-rock-curios|The Counselor's Cornucopia Of Classic Rock & Curios,show
The Cream of Broccoli Radio Hour,the-cream-of-broccoli-radio-hour,the-cream-of-broccoli-radio-hour|The Cream of Broccoli Radio Hour,show
The Good Nite Show With Little Triv,the-good-nite-show-with-little-triv,the-good-nite-show-with-little-triv|The Good Nite Show With Little Triv,show
The Music Gallery,the-music-gallery,the-music-gallery|The Music Gallery,show
The Spandex Years,the-spandex-years,the-spandex-years|The Spandex Years,show
Three Left Turns,three-left-turns,three-left-turns|Three Left Turns,show
Treasure Trove,treasure-trove,treasure-trove|Treasure Trove,show
Treasure Trove Annex,treasure-trove-annex,treasure-trove-annex|Treasure Trove Annex,show
Tripod Terrace,tripod-terrace,tripod-terrace|Tripod Terrace,show
Voices & Choices,voices-choices,voices-choices|Voices & Choices,show
Walking Vibration,walking-vibration,walking-vibration|Walking Vibration,show
Wandering in Sound,wandering-in-sound,wandering-in-sound|Wandering in Sound,show
Welcome 2 Wonderland,welcome-2-wonderland,welcome-2-wonderland|Welcome 2 Wonderland,show
What You Need,what-you-need,what-you-need|What You Need,show
Woodchopper's Ball,woodchoppers-ball,woodchoppers-ball|Woodchopper's Ball,show
